"","numbering","img_names"
"1","ch1_1","ch1-1-june14.jpg"
"2","ch1_2","ch1-2-june14.png"
"3","ch1_3","ch1-3-june14.png"
"4","ch2_1","fig-ch2-img1.jpg"
"5","ch2_2","fig-ch2-img2.jpg"
"6","ch2_3","fig-ch2-img3.jpg"
"7","ch2_4","fig-ch2-img4.jpg"
"8","ch2_5","fig-ch2-img5.jpg"
"9","ch2_6","fig-ch2-img6.jpg"
"10","ch2_7","fig-ch2-img7.jpg"
"11","ch2_8","fig-ch2-img8.jpg"
"12","ch3_1","ch3-1-may31.png"
"13","ch3_2","ch3-02__figure14.png"
"14","ch3_3","ch3-3-may31.png"
"15","ch3_4","fig-ch3-img4-old-16.png"
"16","ch3_5","fig-ch3-img5-old-17.png"
"17","ch3_6","ch3-6__figure18.png"
"18","ch3_7","ch3-7__figure19.png"
"19","ch3_8","ch3-8__figure20.png"
"20","ch3_9","image9.jpg"
"21","ch3_10","ch3-10-june14.png"
"22","ch3_11","ch3-11-may31.png"
"23","ch3_12","ch3-12-may31.png"
"24","ch3_13","ch3-13-june14.png"
"25","ch3_14","image14.jpg"
"26","ch3_15","ch3-15-may31.png"
"27","ch3_16","ch3-16-may31.png"
"28","ch3_17","ch3-17-june14.png"
"29","ch3_18","ch3-18-may31.png"
"30","ch3_19","fig-ch3-img19-old-31.png"
"31","ch3_20","ch3-20.png"
"32","ch3_21","ch3-21-may31.png"
"33","ch3_22","ch3-22-june14.png"
"34","ch3_23","fig-ch3-img23-old-35.png"
"35","ch3_24","ch3-24__figure36.png"
"36","ch3_25","fig-ch3-img25-old-37.png"
"37","ch3_26","ch3-26-june14.png"
"38","ch4_1","fig-ch4n-img1-old-49.png"
"39","ch4_2","fig-ch4n-img2-old-50.png"
"40","ch4_3","ch4-3-june14.png"
"41","ch4_4","ch4n-4-june24.png"
"42","ch4_5","ch4-5-may31.png"
"43","ch4_6","fig-ch4n-img6-old-54.png"
"44","ch4_7","fig-ch4n-img7-old-55.png"
"45","ch4_8","ch4n-8__figure57.png"
"46","ch4_9","fig-ch4n-img9-old-57.png"
"47","ch4_10","fig-ch4n-img10-old-58.png"
"48","ch4_11","fig-ch4n-img11-old-59.png"
"49","ch4_12","fig-ch4n-img12-old-60_above.png"
"50","ch4_13","fig-ch4n-img13-old-61.png"
"51","ch4_14","fig-ch4n-img14-old-62.png"
"52","ch4_15","ch4-15-may31.png"
"53","ch4_16","fig-ch4n-img16-old-64_above.png"
"54","ch4_17","fig-ch4n-img17-old-65.png"
"55","ch4_18","image18.jpg"
"56","ch4_19","fig-ch4n-img19-old-67.png"
"57","ch4_20","ch4n-20__figure69.png"
"58","ch4_21","ch4-21-june14.png"
"59","ch5_1","ch5-1-june14.png"
"60","ch5_2","ch5-2-june14.jpg"
"61","ch5_3","ch5n-3.png"
"62","ch5_4","image4.jpg"
"63","ch5_5","ch5n-5__figure43.png"
"64","ch5_6","ch5n-6.png"
"65","ch5_7","image7.jpg"
"66","ch5_8","strandbeest_Han_perm.jpg"
"67","ch5_9","ch5n-10__figure48.png"
"68","ch5_10","image10.jpg"
"69","ch6_1","fig-ch6-img1-old-70.jpg"
"70","ch6_2","fig-ch6-img2-old-71.png"
"71","ch6_3","fig-ch6-img3-old-72.png"
"72","ch6_4","fig-ch6-extra-bw.jpeg"
"73","ch6_5","ch6_4__figure73.png"
"74","ch6_6","ch6-5__figure74.png"
"75","ch6_7","fig-ch6-img6-old-75.png"
"76","ch6_8","fig-ch6-img7-old-76.jpg"
"77","ch6_9","image8.jpg"
"78","ch6_10","image9.png"
"79","ch6_11","ch6-11-may31.png"
"80","ch6_12","ch6-12.png"
"81","ch6_13","ch6-13.png"
"82","ch6_14","fig-ch6-img12-old-81.jpg"
"83","ch6_15","fig-ch6-img13-old-82.jpg"
"84","ch6_16","fig-ch6-img14-old-83.png"
"85","ch6_17","image15.jpg"
"86","ch6_18","fig-ch6-img16-old-85.png"
"87","ch6_19","image17.png"
"88","ch6_20","fig-ch6-img18-old-87.png"
"89","ch6_21","fig-ch6-img19-old-88.png"
"90","ch7_1","ch7-1-june14.jpg"
"91","ch7_2","ch7-2-may31.png"
"92","ch7_3","fig-ch7-img3-old-91.png"
"93","ch7_4","fig-ch7-img4-old-92.png"
"94","ch7_5","ch7-5__figure95.png"
"95","ch7_6","fig-ch7-img6-old-94.jpg"
"96","ch7_7","fig-ch7-img7-old-95.png"
"97","ch7_8","fig-ch7-img8-old-96-new.png"
"98","ch7_9","fig-ch7-img9-old-97.png"
"99","ch7_10","image10.png"
"100","ch7_11","ch7-11-june14.png"
"101","ch7_12","ch7-12-june14.png"
"102","ch8_1","ch8-1.png"
